,link,origem,destino,data_coleta,data_entrega,distancia,peso,caminhoes,pagina
1825,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-toco,truck,vuc-hr,toco-3-4/carroceria-aberto-grade-baixa,bau,sider/carga-complemento/empresa-antonio-bueno-de-lucena-transportes-me/ahmc0h6dqaampmdqqcbo9gf7",SP - São Paulo,RJ - São João da Barra,05/10,05/10,731 km,150 kg,"['Toco', 'Truck', 'VUC / HR', 'Toco 3/4']",1
1826,"https://www.truckpad.com.br/fretes/carga-de-sp/para-rj/veiculo-toco,truck,vuc-hr,toco-3-4/carroceria-aberto-grade-baixa,bau,sider/carga-complemento/empresa-antonio-bueno-de-lucena-transportes-me/e16x854o3837lmdhc0jhtgqtj",SP - São Paulo,RJ - São João da Barra,03/10,03/10,731 km,150 kg,"['Toco', 'Truck', 'VUC / HR', 'Toco 3/4']",2
1827,"https://www.truckpad.com.br/fretes/carga-de-sp/para-mg/veiculo-bi-truck,carreta-toco,truck,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-antonio-bueno-de-lucena-transportes-me/f41ac2t2ue12j3fpopzk78f0t",SP - Guarulhos,MG - Patos de Minas,05/10,05/10,729 km,"8,1 Ton","['Bi-Truck', 'Carreta Toco', 'Truck', 'Carreta LS Trucada']",3
1828,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-vuc-hr,toco-3-4/carroceria-aberto-grade-baixa,bau,sider/carga-completa/empresa-jp-transportes-e-montagens/4dorbunslgbahk1q6g04r4kms",SP - Jacareí,SP - São Paulo,04/10,04/10,108 km,"2,9 Ton","['VUC / HR', 'Toco 3/4']",4
1829,"https://www.truckpad.com.br/fretes/carga-de-sp/para-df/veiculo-vuc-hr,van/carroceria-bau/carga-complemento/empresa-acla-transportes/3s4nlfdxmbz3zfxupc3pshsk5",SP - São Paulo,DF - Brasília,03/10,03/10,1.002 km,100 kg,"['VUC / HR', 'Van']",5
1830,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-bau/carga-completa/empresa-n-b-logistics-ltda-me/215ddcrlqfothg3h15z48ynaq",SP - Itupeva,SP - Cabreúva,03/10,03/10,24 km,"15,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",6
1831,"https://www.truckpad.com.br/fretes/carga-de-mt/para-mt/veiculo-carreta-toco,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/1tagt6udgtquwtddt0i6iwcsc",MT - Nova Mutum,MT - Rondonópolis,--,--,453 km,A combinar,"['Carreta Toco', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",7
1832,"https://www.truckpad.com.br/fretes/carga-de-mg/para-sp/veiculo-bi-truck,carreta-toco,truck,rodotrem,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/16scbh4akai0u2gcz0phdvtxz",MG - Arcos,SP - Catanduva,--,--,455 km,A combinar,"['Bi-Truck', 'Carreta Toco', 'Truck', 'Rodotrem', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",8
1833,https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-truck/carroceria-bau/carga-agregamento/empresa-jrnascim/elhtkm3wx1wymsqzk9c4u68ku,SP - Guarulhos,SP - Louveira,05/10,05/10,85 km,"11,0 Ton",['Truck'],9
1834,"https://www.truckpad.com.br/fretes/carga-de-ba/para-ba/veiculo-carreta-toco,bitrem,bitrenzao-9-eixos,carreta-ls-trucada,tritrem/carroceria-graneleiro-grade-alta/carga-completa/empresa-sotran/79am19ed1z3ja4ohapw7jbbbj",BA - Candeias,BA - Formosa do Rio Preto,--,--,879 km,A combinar,"['Carreta Toco', 'Bitrem', 'Bitrenzão (9 Eixos)', 'Carreta LS Trucada', 'Tritrem']",10
1835,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-bi-truck,carreta-toco,truck,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta,bau,sider/carga-complemento/empresa-overdrive-comercial/7nfnp2aomks5tn7a3xj2ssruk",SP - Jaboticabal,SP - São Paulo,04/10,04/10,357 km,"12,0 Ton","['Bi-Truck', 'Carreta Toco', 'Truck', 'Carreta LS Trucada']",11
1836,"https://www.truckpad.com.br/fretes/carga-de-sp/para-sp/veiculo-carreta-toco,carreta-ls-trucada/carroceria-aberto-grade-baixa,graneleiro-grade-alta/carga-completa/empresa-2f-express-multimodal-ltda/3abvhe89le42m6ht6r9d1ysv3",SP - Regente Feijó,SP - Guarulhos,04/10,04/10,553 km,"23,0 Ton","['Carreta Toco', 'Carreta LS Trucada']",12
