Código,destino,origem,distancia,peso
505,SP,SP,160,0.05
597,SP,SP,11,0.05
2704,AL,SP,2384,0.054
2898,AL,SP,2384,0.054
3092,AL,SP,2384,0.054
3230,AL,SP,2384,0.054
2165,SP,MG,590,0.06
2199,CE,MG,2312,0.06
311,SP,DF,1009,0.064
1765,SP,MG,580,0.07
1752,SP,MG,580,0.07
1245,SP,MG,580,0.07
1622,SP,RJ,506,0.07
1316,SP,RJ,412,0.07
2682,SP,PE,2617,0.07
2876,SP,PE,2617,0.07
3070,SP,PE,2617,0.07
3208,SP,PE,2617,0.07
1234,SP,MT,1933,0.07
2428,SP,MT,1318,0.071
1915,SP,MT,1318,0.071
304,SP,MG,727,0.085
2031,RS,RS,105,0.085
553,SP,SP,426,0.094
487,SP,SP,426,0.094
2581,GO,MG,738,0.1
2775,GO,MG,738,0.1
2969,GO,MG,738,0.1
915,SC,SP,691,0.1
884,SC,SP,691,0.1
802,SC,SP,691,0.1
720,SC,SP,691,0.1
184,SC,SP,691,0.1
2044,PR,SP,531,0.1
575,RJ,MG,396,0.1
180,SP,SP,39,0.1
2258,SP,SP,10,0.1
2032,SP,SP,9,0.1
2009,SP,DF,1002,0.1
1625,ES,BA,340,0.12
306,SP,GO,904,0.123
1279,SP,SP,169,0.123
1436,SP,RS,1123,0.13
1321,SP,RS,1123,0.13
1195,SP,RS,1123,0.13
1197,SP,RN,2839,0.14
2005,SP,RJ,731,0.15
2006,SP,RJ,731,0.15
167,SP,CE,3014,0.15
1572,SP,PR,1065,0.15
2042,SP,MG,1010,0.16
1947,SP,RJ,415,0.17
1819,SP,MA,2949,0.17
554,SP,RJ,270,0.175
486,SP,RJ,270,0.175
2164,SP,RS,1368,0.18
818,SP,PE,2177,0.185
736,SP,PE,2177,0.185
654,SP,PE,2177,0.185
1933,SP,SC,687,0.2
1565,SC,SP,613,0.2
1838,PR,SP,461,0.2
1701,SP,SP,97,0.2
542,SP,SP,89,0.2
321,SP,SP,89,0.2
578,RS,PE,3703,0.2
1438,SP,AL,2383,0.2
1323,SP,AL,2383,0.2
1196,SP,AL,2383,0.2
2289,PE,RJ,2301,0.2
537,SP,BA,1936,0.2
2175,SP,SP,530,0.21
